"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"72","B cells 1","B cells 1","MIF","CD74_CXCR2",6.48121214389114e-05,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"73","Hematopoietic Stem cells 1","B cells 1","MIF","CD74_CXCR2",2.3485833547169e-05,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"74","Hematopoietic Stem cells 2","B cells 1","MIF","CD74_CXCR2",3.96593835754197e-05,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"75","Hematopoietic Stem cells 3","B cells 1","MIF","CD74_CXCR2",2.08125924475448e-05,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"76","B cells 1","Hematopoietic Stem cells 1","MIF","CD74_CXCR2",2.56033921059002e-05,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"77","Hematopoietic Stem cells 1","Hematopoietic Stem cells 1","MIF","CD74_CXCR2",9.27784791718296e-06,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"78","Hematopoietic Stem cells 2","Hematopoietic Stem cells 1","MIF","CD74_CXCR2",1.56670504553106e-05,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"79","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","MIF","CD74_CXCR2",8.22164891552248e-06,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"80","Hematopoietic Stem cells 3","Hematopoietic Stem cells 2","MIF","CD74_CXCR2",1.06402165613194e-05,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"81","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","MIF","CD74_CXCR2",3.63281571955197e-06,0,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"82","B cells 1","B cells 1","IL1B","IL1R1_IL1RAP",0.00049146514421365,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"83","Hematopoietic Stem cells 1","B cells 1","IL1B","IL1R1_IL1RAP",0.000178100549208825,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"84","Hematopoietic Stem cells 2","B cells 1","IL1B","IL1R1_IL1RAP",8.46921546219824e-05,0.03,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"85","B cells 1","Hematopoietic Stem cells 1","IL1B","IL1R1_IL1RAP",0.000178246718312605,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
