"","source","target","pathway_name","prob","pval"
"170","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","GALECTIN",2.72294915162485e-05,0
"171","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","ICAM",1.10873120324819e-05,0.0225
"172","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","ITGB2",0.000144445110451399,0
"173","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","LT",1.5200139526247e-05,0
"174","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","MIF",0.00127109694303693,0
"175","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","SEMA4",9.62391434176155e-11,0
"176","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","TGFb",1.0263493790937e-05,0
"177","Hematopoietic Stem cells 3","Hematopoietic Stem cells 1","VEGF",2.03660378093612e-09,0.01
"178","Hematopoietic Stem cells 3","Hematopoietic Stem cells 2","APP",4.77562873862945e-05,0
"179","Hematopoietic Stem cells 3","Hematopoietic Stem cells 2","ITGB2",0.000179871241550117,0
"180","Hematopoietic Stem cells 3","Hematopoietic Stem cells 2","MIF",0.00257464820450639,0
"181","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","APP",1.33548944880526e-05,0
"182","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","CD23",3.21916085979148e-08,0.01
"183","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","CD99",0.000902960447962579,0
"184","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","GALECTIN",1.40392613634016e-05,0
"185","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","ICAM",2.47818584968899e-05,0.008
"186","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","ITGB2",7.45346973019181e-05,0.005
"187","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","MIF",0.000619093639859872,0
"188","Hematopoietic Stem cells 3","Hematopoietic Stem cells 3","MK",0.000107352546151463,0
